user_id;name;email;city;some;another
1;user 1;user1@gmail.com;Paris;some1;another1
2;user 2;user2@gmail.com;Paris;some1;another1
3;user 3;user3@gmail.com;Paris;some1;another1
4;user 4;user4@gmail.com;Paris;some1;another1
5;user 5;user5@gmail.com;Paris;some1;another1
6;user 6;user6@gmail.com;Paris;some1;another1
7;user 7;user7@gmail.com;Paris;some1;another1
8;user 8;user8@gmail.com;Paris;some1;another1
9;user 9;user9@gmail.com;Paris;some1;another1
10;user 10;user10@gmail.com;Paris;some1;another1
